id,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,place_town_name,place_county_name,place_state_name,place_country_name,place_admin1_name,place_admin2_name,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
67419831,2020/12/30 8:03 AM ACDT,2020-12-30,2020-12-29 21:33:00 UTC,Adelaide,3925160,aburnell,2021-01-01 21:34:57 UTC,2022-01-20 05:49:18 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/67419831,https://inaturalist-open-data.s3.amazonaws.com/photos/108923347/medium.jpeg,,,,3,0,False,,,,,164,"South Australia, Australia",-355218000000.0,1381860000000.0,28677,private,obscured,True,,,,,,,,,Leafy Seadragon,Phycodurus eques,Leafy Seadragon,Actinopterygii,49105
67420030,2020/12/30 8:07 AM ACDT,2020-12-30,2020-12-29 21:37:00 UTC,Adelaide,3925160,aburnell,2021-01-01 21:38:50 UTC,2022-01-20 05:49:25 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/67420030,https://inaturalist-open-data.s3.amazonaws.com/photos/108923819/medium.jpeg,,,,3,0,False,,,,,141,"South Australia, Australia",-355222000000.0,1381860000000.0,28677,private,obscured,True,,,,,,,,,Leafy Seadragon,Phycodurus eques,Leafy Seadragon,Actinopterygii,49105
67420357,2020/12/18 8:11 AM ACDT,2020-12-18,2020-12-17 21:41:00 UTC,Adelaide,3925160,aburnell,2021-01-01 21:42:45 UTC,2022-01-20 05:49:24 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/67420357,https://inaturalist-open-data.s3.amazonaws.com/photos/108924153/medium.jpeg,,,,3,0,False,,,,,208,"South Australia, Australia",-356546000000.0,1376460000000.0,28649,private,obscured,True,,,,,,,,,Leafy Seadragon,Phycodurus eques,Leafy Seadragon,Actinopterygii,49105
67422733,2017/12/23 8:51 AM ACDT,2017-12-23,2017-12-22 22:21:00 UTC,Adelaide,3925160,aburnell,2021-01-01 22:24:08 UTC,2022-01-20 05:49:24 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/67422733,https://inaturalist-open-data.s3.amazonaws.com/photos/108928736/medium.jpeg,,,,2,0,False,,,,,216,"South Australia, Australia",-355216000000.0,1381860000000.0,28677,private,obscured,True,,,,,,,,,Leafy Seadragon,Phycodurus eques,Leafy Seadragon,Actinopterygii,49105
67424386,2018/09/12 9:17 AM ACST,2018-09-12,2018-09-11 23:47:00 UTC,Adelaide,3925160,aburnell,2021-01-01 22:51:15 UTC,2022-01-20 05:49:23 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/67424386,https://inaturalist-open-data.s3.amazonaws.com/photos/108931538/medium.jpeg,,,,2,0,False,,,,,244,"South Australia, Australia",-355216000000.0,1381860000000.0,28677,private,obscured,True,,,,,,,,,Leafy Seadragon,Phycodurus eques,Leafy Seadragon,Actinopterygii,49105
67424569,2018/10/12 9:23 AM ACDT,2018-10-12,2018-10-11 22:53:00 UTC,Adelaide,3925160,aburnell,2021-01-01 22:54:42 UTC,2022-01-20 05:50:16 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/67424569,https://inaturalist-open-data.s3.amazonaws.com/photos/108932172/medium.jpeg,,,,3,0,False,,,,,244,"South Australia, Australia",-355224000000.0,1381860000000.0,28677,private,obscured,True,,,,,,,,,Leafy Seadragon,Phycodurus eques,Leafy Seadragon,Actinopterygii,49105
67425414,2017/03/03 9:42 AM ACDT,2017-03-03,2017-03-02 23:12:00 UTC,Adelaide,3925160,aburnell,2021-01-01 23:14:07 UTC,2022-01-20 05:49:26 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/67425414,https://inaturalist-open-data.s3.amazonaws.com/photos/108933791/medium.jpeg,,,,2,0,False,,,,,138,"South Australia, Australia",-355221000000.0,138186000000.0,28677,private,obscured,True,,,,,,,,,Leafy Seadragon,Phycodurus eques,Leafy Seadragon,Actinopterygii,49105
67425979,2017/01/21 9:54 AM ACDT,2017-01-21,2017-01-20 23:24:00 UTC,Adelaide,3925160,aburnell,2021-01-01 23:25:37 UTC,2022-01-20 05:49:27 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/67425979,https://inaturalist-open-data.s3.amazonaws.com/photos/108934958/medium.jpeg,,,,2,0,False,,,,,139,"South Australia, Australia",-355220000000.0,1381860000000.0,28677,private,obscured,True,,,,,,,,,Leafy Seadragon,Phycodurus eques,Leafy Seadragon,Actinopterygii,49105
67611693,2014/03/07,2014-03-07,,Adelaide,3925160,aburnell,2021-01-05 09:40:51 UTC,2022-01-20 05:49:27 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/67611693,https://inaturalist-open-data.s3.amazonaws.com/photos/109280969/medium.jpeg,,,,2,0,False,,,,,187,"South Australia, Australia",-355219000000.0,1381860000000.0,28677,private,obscured,True,,,,,,,,,Leafy Seadragon,Phycodurus eques,Leafy Seadragon,Actinopterygii,49105
67611709,2014/03/07,2014-03-07,,Adelaide,3925160,aburnell,2021-01-05 09:42:13 UTC,2022-01-20 05:49:28 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/67611709,https://inaturalist-open-data.s3.amazonaws.com/photos/109281011/medium.jpeg,,,,2,0,False,,,,,305,"South Australia, Australia",-355210000000.0,1381850000000.0,28677,private,obscured,True,,,,,,,,,Leafy Seadragon,Phycodurus eques,Leafy Seadragon,Actinopterygii,49105
